gene	log2FC	pvalue	padjs
Ervon	1.134	2.88e-06	2.88e-06
Gx54911	0.218	0.282	0.282
Gx67385	-0.113	0.838	0.838
Gx33955	0.15	0.0666	0.0666
Gx57785	-0.413	0.204	0.204
Gx75722	0.041	0.49	0.49
Gx31588	0.159	0.22	0.22
Gx60649	-0.148	0.207	0.207
Gx78905	-0.093	0.442	0.442
Gx85310	0.22	0.0796	0.0796
Gx70720	0.058	0.409	0.409
Gx10481	-0.027	0.593	0.593
Gx93655	-0.005	0.918	0.918
Gx57571	-0.148	0.0717	0.0717
Gx98534	-0.867	0.108	0.108
Gx82831	-0.057	0.238	0.238
Gx78541	-0.007	0.891	0.891
Gx86620	0.025	0.63	0.63
Gx50539	-0.054	0.319	0.319
Gx40635	0.036	0.758	0.758
Gx64380	0.115	0.608	0.608
Gx80425	0.045	0.586	0.586
Gx66396	-0.125	0.711	0.711
Gx11982	-0.035	0.746	0.746
Gx54365	0.011	0.815	0.815
Gx83089	0.019	0.713	0.713
Gx39338	-0.101	0.195	0.195
Gx56555	-0.114	0.0799	0.0799
Gx12815	-0.187	0.276	0.276
Gx39121	-0.069	0.559	0.559
Gx73957	-0.116	0.294	0.294
Gx97602	0.127	0.305	0.305
Gx74484	0.06	0.394	0.394
Gx35036	0.014	0.791	0.791
Gx59887	0.1	0.0789	0.0789
Gx94649	0.035	0.607	0.607
Gx21879	-0.018	0.798	0.798
Gx59911	0.21	0.105	0.105
Gx18831	-0.009	0.879	0.879
Gx99649	-0.169	0.335	0.335
Gx79618	0.072	0.518	0.518
Gx69987	-0.066	0.306	0.306
Gx19631	-0.112	0.136	0.136
Gx88875	0.164	0.228	0.228
Gx40039	0.368	0.0365	0.0365
Gx58201	0.057	0.728	0.728
Gx40649	0.603	0.0146	0.0146
Gx92896	-0.005	0.957	0.957
Gx20591	0.11	0.0773	0.0773
Gx62023	0.039	0.642	0.642
Gx74923	0.018	0.934	0.934
Gx68894	-0.098	0.547	0.547
Gx40417	-0.275	0.46	0.46
Gx61263	-0.038	0.611	0.611
Gx82850	-0.008	0.924	0.924
Gx81663	0.161	0.132	0.132
Gx98547	-0.02	0.798	0.798
Gx29690	0.058	0.375	0.375
Gx64569	0.117	0.346	0.346
Gx81988	0.011	0.845	0.845
Gx17555	-0.177	0.284	0.284
Gx10765	-0.021	0.852	0.852
Gx78059	0.109	0.777	0.777
Gx24308	0.039	0.448	0.448
Gx69141	0.387	0.44	0.44
Gx34795	-0.02	0.799	0.799
Gx87497	-0.161	0.65	0.65
Gx78964	-0.043	0.451	0.451
Gx27027	-0.048	0.44	0.44
Gx58173	-0.015	0.831	0.831
Gx58370	0.047	0.395	0.395
Gx87281	0.081	0.433	0.433
Gx42603	0.049	0.414	0.414
Gx14403	0.308	0.0966	0.0966
Gx66435	-0.519	0.0841	0.0841
Gx17361	-0.016	0.78	0.78
Gx11456	0.133	0.0407	0.0407
Gx86315	0.04	0.511	0.511
Gx23287	0.006	0.902	0.902
Gx92857	0.107	0.0752	0.0752
Gx52916	0.037	0.771	0.771
Gx61100	0.087	0.219	0.219
Gx97800	-0.229	0.454	0.454
Gx52893	0.076	0.666	0.666
Gx56778	0.064	0.407	0.407
Gx68604	-0.094	0.513	0.513
Gx17102	0.785	0.00153	0.00153
Gx80755	0.12	0.142	0.142
Gx83713	0.058	0.281	0.281
Gx79913	-0.011	0.922	0.922
Gx88813	0.003	0.978	0.978
Gx73350	0.251	0.143	0.143
Gx33323	-0.108	0.0795	0.0795
Gx15712	-0.47	0.0695	0.0695
Gx59134	-0.183	0.196	0.196
Gx52896	0.064	0.447	0.447
Gx40325	-0.477	0.0568	0.0568
Gx75816	0.002	0.969	0.969
Gx23400	0.316	0.206	0.206
Gx65456	0.069	0.697	0.697
Gx21719	0.093	0.262	0.262
Gx96120	0.648	0.14	0.14
Gx60834	-0.613	0.0344	0.0344
Gx95766	-0.021	0.892	0.892
Gx33448	-0.054	0.465	0.465
Gx73631	0.102	0.0736	0.0736
Gx71394	0.029	0.664	0.664
Gx47142	0.022	0.642	0.642
Gx84603	0.325	0.183	0.183
Gx50295	-0.03	0.779	0.779
Gx85566	0.051	0.736	0.736
Gx98226	0.077	0.376	0.376
Gx67943	0.022	0.926	0.926
Gx72280	-0.025	0.859	0.859
Gx58488	0.032	0.592	0.592
Gx51026	-0.171	0.0631	0.0631
Gx32210	-0.006	0.91	0.91
Gx58675	0.169	0.4	0.4
Gx35292	-0.119	0.517	0.517
Gx99100	0.196	0.0862	0.0862
Gx19458	-0.897	0.106	0.106
Gx68864	0.119	0.047	0.047
Gx24425	-0.059	0.41	0.41
Gx42636	-0.149	0.033	0.033
Gx48220	0.161	0.743	0.743
Gx81410	-0.041	0.592	0.592
Gx57948	0.039	0.824	0.824
Gx39654	-0.025	0.824	0.824
Gx65515	-0.261	0.0321	0.0321
Gx63908	-0.003	0.955	0.955
Gx74687	0.068	0.423	0.423
Gx61548	-0.056	0.293	0.293
Gx39181	-0.163	0.0445	0.0445
Gx46042	0.071	0.457	0.457
Gx64338	0.23	0.0229	0.0229
Gx75323	0.12	0.11	0.11
Gx92985	-0.052	0.461	0.461
Gx94084	0.099	0.83	0.83
Gx98292	0.07	0.263	0.263
Gx53528	-0.012	0.966	0.966
Gx64802	-0.034	0.744	0.744
Gx11270	0.539	0.217	0.217
Gx30037	0.002	0.976	0.976
Gx68999	0.032	0.509	0.509
Gx80017	0.213	0.295	0.295
Gx79634	0.293	0.133	0.133
Gx43149	-0.544	0.0255	0.0255
Gx40409	-0.141	0.351	0.351
Gx37905	0.051	0.713	0.713
Gx29691	0.005	0.928	0.928
Gx52395	0.005	0.963	0.963
Gx89961	-0.037	0.418	0.418
Gx24495	0.047	0.52	0.52
Gx68347	0.035	0.572	0.572
Gx97310	0.116	0.503	0.503
Gx37895	0.305	0.0756	0.0756
Gx44538	0.018	0.9	0.9
Gx66651	0.71	0.0127	0.0127
Gx85540	0.114	0.768	0.768
Gx77878	0.013	0.805	0.805
Gx59786	0.1	0.18	0.18
Gx95359	-0.067	0.29	0.29
Gx39394	-0.075	0.536	0.536
Gx64066	-0.013	0.769	0.769
Gx94529	0.041	0.673	0.673
Gx90753	-0.013	0.77	0.77
Gx90204	0.062	0.749	0.749
Gx51815	-0.014	0.781	0.781
Gx22756	-0.044	0.554	0.554
Gx69552	0.056	0.519	0.519
Gx25914	0.459	0.402	0.402
Gx13302	-0.27	0.244	0.244
Gx13698	0.08	0.664	0.664
Gx40197	0.173	0.449	0.449
Gx79212	-0.035	0.468	0.468
Gx64609	0.027	0.646	0.646
Gx17461	0.349	0.0168	0.0168
Gx12322	-0.284	0.124	0.124
Gx59097	0.019	0.69	0.69
Gx62253	0.056	0.432	0.432
Gx49154	0.31	0.243	0.243
Gx57370	0.07	0.202	0.202
Gx34740	0.003	0.95	0.95
Gx38487	-0.288	0.0927	0.0927
Gx37358	0.02	0.677	0.677
Gx55335	0.157	0.0477	0.0477
Gx31336	-0.058	0.546	0.546
Gx67619	-0.103	0.344	0.344
Gx42022	-0.07	0.62	0.62
Gx10422	-0.016	0.819	0.819
Gx97578	0.168	0.0546	0.0546
Gx32400	-0.033	0.518	0.518
Gx71544	-0.057	0.336	0.336
Gx84602	-0.025	0.578	0.578
Gx92343	-0.167	0.203	0.203
Gx62678	-0.11	0.545	0.545
Gx97020	0.04	0.419	0.419
Gx75876	-0.048	0.698	0.698
Gx29424	-0.044	0.843	0.843
Gx43503	-0.07	0.712	0.712
Gx94300	-0.378	0.524	0.524
Gx68860	-0.177	0.0168	0.0168
Gx56003	-0.068	0.243	0.243
Gx25025	0.147	0.141	0.141
Gx26134	0.056	0.66	0.66
Gx87059	-0.008	0.886	0.886
Gx77626	-0.058	0.648	0.648
Gx27922	0.041	0.466	0.466
Gx20400	-0.056	0.43	0.43
Gx36503	0.312	0.271	0.271
Gx11536	-0.046	0.454	0.454
Gx70353	-0.028	0.822	0.822
Gx99488	-0.096	0.179	0.179
Gx54962	0.029	0.662	0.662
Gx89603	-0.202	0.601	0.601
Gx39152	0.326	0.119	0.119
Gx64048	-0.016	0.791	0.791
Gx84959	0.084	0.451	0.451
Gx83536	0.18	0.575	0.575
Gx73710	0.102	0.199	0.199
Gx88505	0.025	0.634	0.634
Gx96523	-0.028	0.838	0.838
Gx11562	-0.152	0.0723	0.0723
Gx59528	-0.035	0.821	0.821
Gx41307	0.174	0.061	0.061
Gx25426	-0.111	0.154	0.154
Gx26236	-0.078	0.173	0.173
Gx57038	0.719	0.154	0.154
Gx84600	-0.735	0.0102	0.0102
Gx90536	0.092	0.821	0.821
Gx52527	-0.139	0.302	0.302
Gx51442	-0.801	0.0446	0.0446
Gx21181	0.302	0.084	0.084
Gx60766	0.026	0.94	0.94
Gx97367	0.044	0.524	0.524
Gx65401	-0.891	0.0563	0.0563
Gx46355	-0.015	0.907	0.907
Gx89206	0.233	0.0412	0.0412
Gx83968	0.008	0.881	0.881
Gx12924	0.138	0.911	0.911
Gx47702	-0.262	0.0455	0.0455
Gx99574	-0.22	0.142	0.142
Gx54594	-0.585	0.212	0.212
Gx21643	0.026	0.829	0.829
Gx96202	-0.114	0.148	0.148
Gx54127	-0.091	0.706	0.706
Gx10221	-0.005	0.981	0.981
Gx58802	-0.017	0.789	0.789
Gx14579	0.036	0.797	0.797
Gx66837	-0.088	0.665	0.665
Gx74072	-0.038	0.74	0.74
Gx32624	-0.259	0.131	0.131
Gx37138	0.142	0.0944	0.0944
Gx85453	-0.028	0.933	0.933
Gx22041	-0.392	0.0293	0.0293
Gx65342	0.071	0.267	0.267
Gx47755	-0.278	0.205	0.205
Gx47050	-0.011	0.906	0.906
Gx59194	-0.019	0.713	0.713
Gx48835	0.05	0.748	0.748
Gx33508	0.112	0.426	0.426
Gx66891	0.395	0.103	0.103
Gx78875	-0.045	0.451	0.451
Gx84965	0.085	0.322	0.322
Gx39518	-0.123	0.279	0.279
Gx93720	0.304	0.412	0.412
Gx91427	0.137	0.386	0.386
Gx21456	-0.229	0.106	0.106
Gx23332	0.023	0.671	0.671
Gx91756	0.022	0.77	0.77
Gx40146	0.015	0.742	0.742
Gx90717	0.064	0.276	0.276
Gx69153	0.006	0.91	0.91
Gx88038	-0.038	0.57	0.57
Gx98270	-0.331	0.0587	0.0587
Gx91885	0.14	0.337	0.337
Gx92948	-0.193	0.191	0.191
Gx54305	0.212	0.463	0.463
Gx62632	0.103	0.786	0.786
Gx32763	0.038	0.484	0.484
Gx23948	0.078	0.271	0.271
Gx63156	0.024	0.705	0.705
Gx58953	-0.423	0.253	0.253
Gx96300	0.039	0.588	0.588
Gx55999	-0.087	0.387	0.387
Gx49678	-0.247	0.0213	0.0213
Gx24507	-0.112	0.68	0.68
Gx32127	0.074	0.372	0.372
Gx54943	-0.114	0.66	0.66
Gx47881	-0.985	0.0904	0.0904
Gx65895	-0.06	0.273	0.273
Gx57009	-0.084	0.337	0.337
Gx12197	0.304	0.276	0.276
Gx42809	-0.243	0.483	0.483
Gx53721	0.058	0.238	0.238
Gx30928	0.785	0.28	0.28
Gx10577	0.035	0.605	0.605
Gx46829	0.007	0.895	0.895
Gx23527	-0.265	0.19	0.19
Gx89051	0.017	0.866	0.866
Gx72463	0.155	0.269	0.269
Gx88588	0.041	0.413	0.413
Gx52177	-0.115	0.557	0.557
Gx79092	-0.039	0.584	0.584
Gx64275	-0.277	0.1	0.1
Gx66749	-0.245	0.188	0.188
Gx23423	-0.103	0.168	0.168
Gx80886	-0.111	0.0435	0.0435
Gx69516	0.117	0.193	0.193
Gx16386	-0.344	0.11	0.11
Gx44416	0.196	0.099	0.099
Gx40287	-0.809	0.00231	0.00231
Gx73155	-0.005	0.915	0.915
Gx85131	0.003	0.972	0.972
Gx10966	-0.134	0.418	0.418
Gx73338	-0.095	0.295	0.295
Gx12952	0.524	0.388	0.388
Gx65709	0.075	0.398	0.398
Gx72229	-0.157	0.161	0.161
Gx15815	0.012	0.875	0.875
Gx68248	0.125	0.0857	0.0857
Gx76134	-0.05	0.51	0.51
Gx28248	-0.323	0.295	0.295
Gx19058	-0.024	0.705	0.705
Gx96134	0.072	0.297	0.297
Gx69862	0.041	0.491	0.491
Gx88640	-0.179	0.0198	0.0198
Gx68387	-0.366	0.36	0.36
Gx79915	-0.088	0.537	0.537
Gx54964	-0.208	0.384	0.384
Gx39447	0.13	0.0918	0.0918
Gx85999	-0.163	0.507	0.507
Gx71775	-0.045	0.366	0.366
Gx67231	-0.091	0.387	0.387
Gx68647	0.232	0.0824	0.0824
Gx21076	0.268	0.437	0.437
Gx63840	-0.429	0.112	0.112
Gx97979	0.106	0.117	0.117
Gx69205	-0.086	0.431	0.431
Gx45366	-0.092	0.92	0.92
Gx90259	-0.242	0.382	0.382
Gx28357	0.075	0.195	0.195
Gx33609	0.049	0.389	0.389
Gx23627	0.124	0.0871	0.0871
Gx34753	-0.063	0.483	0.483
Gx31112	-0.001	0.991	0.991
Gx53110	-0.05	0.532	0.532
Gx12575	0.005	0.964	0.964
Gx20932	-0.205	0.0634	0.0634
Gx20687	0.681	0.165	0.165
Gx17915	-0.372	0.0397	0.0397
Gx25791	-0.077	0.436	0.436
Gx55350	0.312	0.333	0.333
Gx25876	0.251	0.0558	0.0558
Gx32538	0.024	0.698	0.698
Gx10639	-0.083	0.671	0.671
Gx69077	-0.047	0.622	0.622
Gx77103	0.099	0.28	0.28
Gx63890	-0.081	0.696	0.696
Gx53638	-0.009	0.952	0.952
Gx58285	0.006	0.899	0.899
Gx37289	0.388	0.151	0.151
Gx30427	-0.275	0.447	0.447
Gx66449	-0.022	0.859	0.859
Gx31667	0.009	0.862	0.862
Gx15151	-0.078	0.329	0.329
Gx13668	0.219	0.21	0.21
Gx75393	-0.222	0.369	0.369
Gx54328	-0.145	0.382	0.382
Gx26755	-0.038	0.673	0.673
Gx81380	-0.387	0.298	0.298
Gx21549	0.428	0.469	0.469
Gx29360	-0.078	0.826	0.826
Gx26229	0.082	0.564	0.564
Gx58105	-0.001	0.992	0.992
Gx29299	-0.22	0.437	0.437
Gx61506	0.004	0.941	0.941
Gx18626	0	0.997	0.997
Gx97591	0.098	0.272	0.272
Gx26910	-0.123	0.321	0.321
Gx76741	0.08	0.591	0.591
Gx84306	0.046	0.621	0.621
Gx13819	-0.649	0.00202	0.00202
Gx37305	-0.025	0.609	0.609
Gx35726	0.251	0.175	0.175
Gx48007	-0.187	0.544	0.544
Gx81532	0.061	0.413	0.413
Gx59689	-0.125	0.434	0.434
Laxen7	0.082	0.178	0.178
Gx32866	0.064	0.359	0.359
Gx93952	0.018	0.95	0.95
Gx70935	0.091	0.308	0.308
Gx79961	-0.155	0.608	0.608
Gx23877	-0.181	0.101	0.101
Gx41188	0.143	0.466	0.466
Gx62512	-0.136	0.14	0.14
Gx19255	0.067	0.642	0.642
Gx86953	0.026	0.61	0.61
Gx53249	0.114	0.407	0.407
Gx61045	0.117	0.137	0.137
Gx71593	-0.071	0.602	0.602
Gx77428	-0.034	0.802	0.802
Gx71154	-1.12	0.00543	0.00543
Gx90663	-0.107	0.139	0.139
Gx10338	-0.105	0.476	0.476
Gx35874	0.016	0.758	0.758
Gx58440	-0.007	0.942	0.942
Gx23018	0.305	0.00487	0.00487
Gx89964	-0.044	0.748	0.748
Gx53020	0.028	0.562	0.562
Gx14090	-0.132	0.688	0.688
Gx80028	-0.031	0.861	0.861
Gx60611	0.073	0.701	0.701
Gx17982	0.059	0.527	0.527
Gx91921	-0.265	0.00667	0.00667
Gx68902	-0.122	0.601	0.601
Gx65275	-0.025	0.857	0.857
Gx85110	-0.07	0.287	0.287
Gx12965	-0.304	0.0346	0.0346
Gx55484	0.688	0.165	0.165
Gx99724	0.224	0.0502	0.0502
Gx71918	-0.104	0.336	0.336
Gx38077	0.103	0.179	0.179
Gx37963	0.163	0.268	0.268
Gx32737	0.301	0.235	0.235
Gx10617	-0.253	0.509	0.509
Gx94088	-0.153	0.0386	0.0386
Gx94522	-0.537	0.00746	0.00746
Gx23130	-0.105	0.518	0.518
Gx45995	0.41	0.0488	0.0488
Gx20793	0.154	0.242	0.242
Gx57815	-0.213	0.142	0.142
Gx45037	-0.095	0.277	0.277
Gx13260	-0.247	0.0303	0.0303
Gx81631	0.061	0.865	0.865
Gx39977	0.158	0.312	0.312
Gx30843	-0.12	0.389	0.389
Gx72510	0.386	0.282	0.282
Gx83988	-0.044	0.578	0.578
Gx42105	0.061	0.227	0.227
Gx77953	-0.035	0.613	0.613
Gx87524	-0.32	0.00839	0.00839
Gx54229	0.238	0.242	0.242
Gx59635	-0.907	0.0109	0.0109
Gx64508	-0.035	0.651	0.651
Gx13377	-0.385	0.0969	0.0969
Gx35344	-0.122	0.113	0.113
Gx14688	0.036	0.809	0.809
Gx26356	0.336	0.378	0.378
Gx90326	-0.061	0.626	0.626
Gx13427	-0.002	0.995	0.995
Gx37441	0.02	0.705	0.705
Gx80388	-0.004	0.946	0.946
Gx32316	-0.153	0.381	0.381
Gx93205	0.435	0.403	0.403
Gx53294	0.06	0.727	0.727
Gx23843	-0.061	0.698	0.698
Gx94325	-0.377	0.087	0.087
Gx26484	-0.183	0.0615	0.0615
Gx30909	-0.279	0.344	0.344
Gx87118	-0.078	0.362	0.362
Gx17711	-0.143	0.363	0.363
Gx49269	0.158	0.286	0.286
Gx14722	-0.282	0.404	0.404
Gx60025	0	0.995	0.995
Gx16421	-0.161	0.294	0.294
Gx70692	-0.058	0.283	0.283
Gx63013	-0.01	0.927	0.927
Gx73501	-0.045	0.554	0.554
Gx80545	0.025	0.68	0.68
Gx10738	-0.1	0.0849	0.0849
Gx47454	-0.055	0.799	0.799
Gx12362	-0.007	0.882	0.882
Gx40988	-0.045	0.514	0.514
Gx82486	-0.002	0.984	0.984
Gx97468	0.12	0.542	0.542
Gx46565	-0.061	0.288	0.288
Gx28730	-0.013	0.845	0.845
Gx56457	0.033	0.6	0.6
Gx91840	0.036	0.476	0.476
Gx94591	0.136	0.24	0.24
Gx35673	0.5	0.0376	0.0376
Gx87588	-0.029	0.731	0.731
Gx69570	0.086	0.155	0.155
Gx83507	-0.037	0.481	0.481
Gx49135	0.02	0.788	0.788
Gx70650	0.428	0.058	0.058
Gx33897	0.094	0.506	0.506
Gx23668	-0.223	0.0791	0.0791
Gx23280	-0.028	0.751	0.751
Gx26354	-0.272	0.385	0.385
Gx16220	0.005	0.929	0.929
Gx75980	-0.02	0.739	0.739
Gx99359	0.121	0.261	0.261
Gx34799	0.035	0.569	0.569
Gx71836	0.088	0.182	0.182
Gx56577	0.354	0.185	0.185
Gx66972	-0.161	0.189	0.189
Gx19933	0.013	0.872	0.872
Gx53219	-0.007	0.917	0.917
Gx73553	0.144	0.5	0.5
Gx61209	-0.012	0.856	0.856
Gx29598	-0.002	0.974	0.974
Gx37838	0.711	0.000818	0.000818
Gx95516	0.002	0.979	0.979
Gx79985	-0.124	0.139	0.139
Gx24621	0.207	0.0611	0.0611
Gx93274	0.09	0.131	0.131
Gx11489	-0.053	0.665	0.665
Gx78175	-0.012	0.858	0.858
Gx79407	-0.177	0.0372	0.0372
Gx86366	0.115	0.0703	0.0703
Gx59107	0.242	0.0571	0.0571
Gx37990	0.093	0.45	0.45
Gx44078	0.104	0.0967	0.0967
Gx68888	-0.187	0.312	0.312
Gx78513	-0.035	0.46	0.46
Gx76603	-0.113	0.2	0.2
Gx40061	0.146	0.0666	0.0666
Gx38894	-0.111	0.52	0.52
Gx35537	0.333	0.486	0.486
Gx80182	-0.045	0.624	0.624
Gx96284	0.037	0.564	0.564
Gx78717	-0.064	0.401	0.401
Gx73017	-0.084	0.401	0.401
Gx54000	0.04	0.659	0.659
Gx10626	-0.015	0.947	0.947
Gx38971	-0.047	0.631	0.631
Gx97659	-0.059	0.551	0.551
Gx40026	0.019	0.684	0.684
Gx62814	0.095	0.456	0.456
Gx54343	0.252	0.263	0.263
Gx67583	0.056	0.34	0.34
Gx74154	0.199	0.435	0.435
Gx29392	-0.168	0.258	0.258
Gx11136	-0.062	0.571	0.571
Gx74232	0.004	0.946	0.946
Gx74020	0.646	0.0421	0.0421
Gx90593	-0.001	0.996	0.996
Gx84700	0.101	0.674	0.674
Gx59954	0.193	0.224	0.224
Gx95918	0.052	0.509	0.509
Gx77115	-0.059	0.349	0.349
Gx70523	0.168	0.207	0.207
Gx33685	0.003	0.988	0.988
Gx30694	0.124	0.154	0.154
Gx68794	0.294	0.416	0.416
Gx78132	0.15	0.401	0.401
Gx10748	-0.163	0.247	0.247
Gx52129	-0.327	0.353	0.353
Gx13498	-0.14	0.77	0.77
Gx25380	0.162	0.0449	0.0449
Gx33710	-0.013	0.838	0.838
Gx23631	-0.018	0.731	0.731
Gx28873	-0.053	0.485	0.485
Gx87293	0.491	0.0155	0.0155
Gx98671	0.05	0.615	0.615
Gx17917	-0.161	0.195	0.195
Gx45788	-0.042	0.59	0.59
Gx20837	0.065	0.214	0.214
Gx42860	-0.003	0.981	0.981
Gx45703	-0.115	0.345	0.345
Gx36190	-0.038	0.929	0.929
Gx15074	0.094	0.148	0.148
Gx95889	-0.125	0.46	0.46
Gx45659	-0.09	0.567	0.567
Gx26864	0.223	0.383	0.383
Gx15800	0.107	0.459	0.459
Gx26497	0.026	0.679	0.679
Gx13894	0.535	0.114	0.114
Gx49579	0.082	0.231	0.231
Gx96220	-0.287	0.078	0.078
Gx37179	0.096	0.11	0.11
Gx25090	-0.058	0.639	0.639
Gx96185	0.114	0.648	0.648
Gx57708	0.103	0.161	0.161
Gx92092	0.105	0.0802	0.0802
Gx38291	0.025	0.758	0.758
Gx85462	-0.002	0.99	0.99
Gx25175	-0.071	0.489	0.489
Gx24021	-0.392	0.275	0.275
Gx37593	-0.133	0.636	0.636
Gx55329	0.198	0.414	0.414
Gx90089	0.024	0.861	0.861
Gx87037	-0.001	0.99	0.99
Gx21276	-0.24	0.0656	0.0656
Gx30468	0.115	0.321	0.321
Gx56527	0.1	0.111	0.111
Gx50678	-0.416	0.0365	0.0365
Gx21177	-0.036	0.546	0.546
Gx33859	0.122	0.414	0.414
Gx72451	0.052	0.354	0.354
Gx85751	-0.084	0.376	0.376
Gx34855	0.155	0.102	0.102
Gx82426	-0.284	0.0757	0.0757
Gx41377	-0.04	0.873	0.873
Gx36277	0.055	0.747	0.747
Gx32317	-0.05	0.339	0.339
Gx16313	-0.012	0.793	0.793
Gx64285	0.291	0.0988	0.0988
Gx19717	-0.001	0.985	0.985
Gx62198	-0.037	0.876	0.876
Gx39318	-0.114	0.508	0.508
Gx67613	-0.262	0.167	0.167
Gx16516	0.006	0.96	0.96
Gx42931	-0.701	0.0208	0.0208
Gx48648	1.468	0.00329	0.00329
Gx45657	0.061	0.596	0.596
Gx13647	-0.051	0.61	0.61
Gx84900	-0.007	0.9	0.9
Gx24936	0.01	0.908	0.908
Gx24897	-0.021	0.787	0.787
Gx96416	-0.57	0.00889	0.00889
Gx58868	0.029	0.618	0.618
Gx56041	0.016	0.743	0.743
Gx30264	-0.361	0.0182	0.0182
Gx87079	-0.092	0.426	0.426
Gx98075	0.055	0.695	0.695
Gx92891	0.041	0.758	0.758
Gx13143	-0.058	0.855	0.855
Gx44303	-0.07	0.322	0.322
Gx20445	-0.145	0.173	0.173
Gx11355	-0.083	0.248	0.248
Gx20923	0.081	0.172	0.172
Gx64482	0.023	0.856	0.856
Gx54026	-0.309	0.165	0.165
Gx13008	0.007	0.937	0.937
Gx77962	-0.064	0.83	0.83
Gx39591	-0.028	0.608	0.608
Gx66208	-0.036	0.46	0.46
Gx14328	0.547	0.119	0.119
Gx64266	0.089	0.4	0.4
Gx73318	0.102	0.105	0.105
Gx73788	-0.041	0.755	0.755
Gx69209	0.049	0.349	0.349
Gx50760	0.347	0.0255	0.0255
Gx42082	0.082	0.354	0.354
Gx32024	0.138	0.29	0.29
Gx99645	0.005	0.955	0.955
Gx82434	-0.266	0.213	0.213
Gx59607	-0.081	0.237	0.237
Gx89237	0.101	0.0695	0.0695
Gx10947	0.028	0.567	0.567
Gx65413	0.081	0.418	0.418
Gx51463	0.192	0.475	0.475
Gx80163	-0.013	0.855	0.855
Gx48030	0.357	0.386	0.386
Gx27487	-0.032	0.539	0.539
Gx29344	0.381	0.0872	0.0872
Gx51561	0.017	0.938	0.938
Gx40316	0.007	0.925	0.925
Gx32266	-0.008	0.909	0.909
Gx50168	0.095	0.473	0.473
Gx11893	0.009	0.882	0.882
Gx91079	-1.139	0.0367	0.0367
Gx16439	0.437	0.421	0.421
Gx81196	0.194	0.466	0.466
Gx30077	-0.041	0.572	0.572
Gx79215	0.088	0.287	0.287
Gx46318	0.339	0.00347	0.00347
Gx66350	-0.108	0.486	0.486
Gx38290	-0.045	0.457	0.457
Gx77680	0.059	0.489	0.489
Gx75824	0.048	0.397	0.397
Gx93813	-0.015	0.788	0.788
Gx45551	0.004	0.976	0.976
Gx67865	0.034	0.506	0.506
Gx81518	0.027	0.804	0.804
Gx24883	0.177	0.325	0.325
Gx91401	-0.285	0.52	0.52
Gx68131	-0.239	0.156	0.156
Gx25754	0.1	0.359	0.359
Gx90513	0.489	0.0209	0.0209
Gx51319	0.03	0.627	0.627
Gx53880	0.2	0.338	0.338
Gx96031	-0.04	0.453	0.453
Gx21335	-0.037	0.586	0.586
Gx69846	0.004	0.97	0.97
Gx22720	-0.131	0.323	0.323
Gx69225	-0.011	0.816	0.816
Gx70051	-0.124	0.524	0.524
Gx87500	0.187	0.282	0.282
Gx59038	0.006	0.933	0.933
Gx20118	-0.032	0.553	0.553
Gx29663	-0.03	0.556	0.556
Gx76867	0.026	0.728	0.728
Gx67850	0.067	0.438	0.438
Gx24632	0.224	0.168	0.168
Gx92185	-0.055	0.696	0.696
Gx65220	-0.047	0.532	0.532
Gx87967	0.059	0.259	0.259
Gx11059	0.178	0.0156	0.0156
Gx12937	0.435	0.00165	0.00165
Gx88735	-0.157	0.525	0.525
Gx45923	-0.027	0.921	0.921
Gx79580	0.078	0.156	0.156
Gx75848	0.03	0.792	0.792
Gx58489	-0.124	0.144	0.144
Gx84893	0.252	0.274	0.274
Gx33277	-0.109	0.777	0.777
Gx65151	-0.945	0.00624	0.00624
Gx40430	-0.058	0.595	0.595
Gx88425	0.186	0.171	0.171
Gx22341	-0.059	0.397	0.397
Gx43388	-0.187	0.135	0.135
Gx15213	0.018	0.907	0.907
Gx30294	0.103	0.566	0.566
Gx50586	0.583	0.0718	0.0718
Gx21618	-0.82	0.0028	0.0028
Gx39309	0.064	0.287	0.287
Gx96499	0.334	0.0429	0.0429
Gx62685	-0.584	0.084	0.084
Gx83486	0.234	0.266	0.266
Gx16020	0.052	0.716	0.716
Gx13547	-0.134	0.172	0.172
Gx43908	0.088	0.348	0.348
Gx64036	0.263	0.0569	0.0569
Gx34123	-0.066	0.803	0.803
Gx19589	0.02	0.682	0.682
Gx62294	-0.213	0.32	0.32
Gx51519	-0.003	0.959	0.959
Gx30672	-0.432	0.251	0.251
Gx62959	-0.453	0.399	0.399
Gx97635	-0.039	0.642	0.642
Gx34686	-0.03	0.574	0.574
Gx98742	0.067	0.298	0.298
Gx12949	0.055	0.837	0.837
Gx31349	-0.165	0.41	0.41
Gx58681	-0.028	0.903	0.903
Gx61329	0.278	0.0451	0.0451
Gx38133	0.194	0.195	0.195
Gx52462	0.119	0.563	0.563
Gx51349	-0.354	0.212	0.212
Gx65175	0.032	0.482	0.482
Gx35265	0.157	0.118	0.118
Gx17630	0.072	0.394	0.394
Gx14091	-0.012	0.809	0.809
Gx45483	-0.321	0.00112	0.00112
Gx24659	-0.089	0.524	0.524
Gx77721	-0.034	0.734	0.734
Gx59581	0.152	0.214	0.214
Gx45875	-0.298	0.0269	0.0269
Gx96849	-0.803	0.243	0.243
Gx52902	-0.09	0.207	0.207
